date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:08:29	308/308	---MCZ	200	added ('OK')	text/plain	etag:W/%22217-4xYTEMoixrET/s0S+FQw+5eZfk4%22	https://www.theglowbarldn.com/robots.txt		(from )
11:08:29	1915457/1915457	---MCZ	200	added ('OK')	text/html	etag:W/%22c460a57a35893f23bc6a3c47fcc6ab01%22	https://www.theglowbarldn.com/	/home/afdaall27/websites/theglowbarldn/www.theglowbarldn.com/index.html	(from )
11:08:29	6034/6034	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Aug%202025%2004:08:29%20GMT	https://static.wixstatic.com/media/a240ce_190b2075db324cefb24a3277e3014233~mv2.jpg/v1/fill/w_192%2Ch_192%2Clg_1%2Cusm_0.66_1.00_0.01/a240ce_190b2075db324cefb24a3277e3014233~mv2.jpg	/home/afdaall27/websites/theglowbarldn/static.wixstatic.com/media/a240ce_190b2075db324cefb24a3277e3014233_mv2.jpg/v1/fill/w_192,h_192,lg_1,usm_0.66_1.00_0.01/a240ce_190b2075db324cefb24a3277e3014233_mv2.jpg	(from https://www.theglowbarldn.com/)
11:08:30	1130/1130	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Aug%202025%2004:08:30%20GMT	https://static.wixstatic.com/media/a240ce_190b2075db324cefb24a3277e3014233~mv2.jpg/v1/fill/w_32%2Ch_32%2Clg_1%2Cusm_0.66_1.00_0.01/a240ce_190b2075db324cefb24a3277e3014233~mv2.jpg	/home/afdaall27/websites/theglowbarldn/static.wixstatic.com/media/a240ce_190b2075db324cefb24a3277e3014233_mv2.jpg/v1/fill/w_32,h_32,lg_1,usm_0.66_1.00_0.01/a240ce_190b2075db324cefb24a3277e3014233_mv2.jpg	(from https://www.theglowbarldn.com/)
11:08:31	5622/5622	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Aug%202025%2004:08:31%20GMT	https://static.wixstatic.com/media/a240ce_190b2075db324cefb24a3277e3014233~mv2.jpg/v1/fill/w_180%2Ch_180%2Clg_1%2Cusm_0.66_1.00_0.01/a240ce_190b2075db324cefb24a3277e3014233~mv2.jpg	/home/afdaall27/websites/theglowbarldn/static.wixstatic.com/media/a240ce_190b2075db324cefb24a3277e3014233_mv2.jpg/v1/fill/w_180,h_180,lg_1,usm_0.66_1.00_0.01/a240ce_190b2075db324cefb24a3277e3014233_mv2.jpg	(from https://www.theglowbarldn.com/)
11:08:32	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	/home/afdaall27/websites/theglowbarldn/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.theglowbarldn.com/)
11:08:33	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	/home/afdaall27/websites/theglowbarldn/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.theglowbarldn.com/)
11:08:34	2211/2211	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Aug%202025%2004:08:34%20GMT	https://www.theglowbarldn.com/c	/home/afdaall27/websites/theglowbarldn/www.theglowbarldn.com/c.5.delayed	(from https://www.theglowbarldn.com/)
11:08:35	2210/2210	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Aug%202025%2004:08:35%20GMT	https://www.theglowbarldn.com/t	/home/afdaall27/websites/theglowbarldn/www.theglowbarldn.com/t.6.delayed	(from https://www.theglowbarldn.com/)
11:08:37	7648/7648	---M--	200	added ('OK')	font/woff2	date:Mon,%2023%20Jun%202025%2009:20:33%20GMT	http://static.parastorage.com/tag-bundler/api/v1/fonts-cache/googlefont/woff2/s/raleway/v26/1Ptug8zYS_SKggPNyCIIT4ttDfCmxA.woff2	/home/afdaall27/websites/theglowbarldn/static.parastorage.com/tag-bundler/api/v1/fonts-cache/googlefont/woff2/s/raleway/v26/1Ptug8zYS_SKggPNyCIIT4ttDfCmxA.woff2	(from https://www.theglowbarldn.com/)
11:08:38	8052/8052	---M--	200	added ('OK')	font/woff2	date:Sat,%2007%20Jun%202025%2016:09:38%20GMT	http://static.parastorage.com/tag-bundler/api/v1/fonts-cache/googlefont/woff2/s/raleway/v26/1Ptsg8zYS_SKggPNyCg4QoFqL_KWxWMT.woff2	/home/afdaall27/websites/theglowbarldn/static.parastorage.com/tag-bundler/api/v1/fonts-cache/googlefont/woff2/s/raleway/v26/1Ptsg8zYS_SKggPNyCg4QoFqL_KWxWMT.woff2	(from https://www.theglowbarldn.com/)
11:08:40	22372/22372	---M--	200	added ('OK')	font/woff2	date:Wed,%2028%20May%202025%2003:25:10%20GMT	http://static.parastorage.com/tag-bundler/api/v1/fonts-cache/googlefont/woff2/s/raleway/v26/1Ptug8zYS_SKggPNyCAIT4ttDfCmxA.woff2	/home/afdaall27/websites/theglowbarldn/static.parastorage.com/tag-bundler/api/v1/fonts-cache/googlefont/woff2/s/raleway/v26/1Ptug8zYS_SKggPNyCAIT4ttDfCmxA.woff2	(from https://www.theglowbarldn.com/)
11:08:43	25804/25804	---M--	200	added ('OK')	font/woff2	date:Fri,%2030%20May%202025%2000:46:05%20GMT	http://static.parastorage.com/tag-bundler/api/v1/fonts-cache/googlefont/woff2/s/raleway/v26/1Ptsg8zYS_SKggPNyCg4QIFqL_KWxWMT.woff2	/home/afdaall27/websites/theglowbarldn/static.parastorage.com/tag-bundler/api/v1/fonts-cache/googlefont/woff2/s/raleway/v26/1Ptsg8zYS_SKggPNyCg4QIFqL_KWxWMT.woff2	(from https://www.theglowbarldn.com/)
11:08:45	6764/6764	---MCZ	200	added ('OK')	text/xml	date:Sat,%2009%20Aug%202025%2004:08:36%20GMT	https://www.theglowbarldn.com/blog-feed.xml	/home/afdaall27/websites/theglowbarldn/www.theglowbarldn.com/blog-feed.xml	(from https://www.theglowbarldn.com/)
11:08:45	21688/21688	---M--	200	added ('OK')	font/woff2	date:Sun,%2008%20Jun%202025%2008:50:12%20GMT	http://static.parastorage.com/tag-bundler/api/v1/fonts-cache/googlefont/woff2/s/raleway/v26/1Ptug8zYS_SKggPNyCkIT4ttDfCmxA.woff2	/home/afdaall27/websites/theglowbarldn/static.parastorage.com/tag-bundler/api/v1/fonts-cache/googlefont/woff2/s/raleway/v26/1Ptug8zYS_SKggPNyCkIT4ttDfCmxA.woff2	(from https://www.theglowbarldn.com/)
11:08:47	21572/21572	---M--	200	added ('OK')	font/woff2	date:Sun,%2001%20Jun%202025%2003:22:05%20GMT	http://static.parastorage.com/tag-bundler/api/v1/fonts-cache/googlefont/woff2/s/raleway/v26/1Ptsg8zYS_SKggPNyCg4SYFqL_KWxWMT.woff2	/home/afdaall27/websites/theglowbarldn/static.parastorage.com/tag-bundler/api/v1/fonts-cache/googlefont/woff2/s/raleway/v26/1Ptsg8zYS_SKggPNyCg4SYFqL_KWxWMT.woff2	(from https://www.theglowbarldn.com/)
11:08:49	25548/25548	---M--	200	added ('OK')	font/woff2	date:Fri,%2006%20Jun%202025%2016:24:31%20GMT	http://static.parastorage.com/tag-bundler/api/v1/fonts-cache/googlefont/woff2/s/raleway/v26/1Ptug8zYS_SKggPNyCMIT4ttDfCmxA.woff2	/home/afdaall27/websites/theglowbarldn/static.parastorage.com/tag-bundler/api/v1/fonts-cache/googlefont/woff2/s/raleway/v26/1Ptug8zYS_SKggPNyCMIT4ttDfCmxA.woff2	(from https://www.theglowbarldn.com/)
11:08:51	27616/27616	---M--	200	added ('OK')	font/woff2	date:Fri,%2030%20May%202025%2004:50:17%20GMT	http://static.parastorage.com/tag-bundler/api/v1/fonts-cache/googlefont/woff2/s/raleway/v26/1Ptsg8zYS_SKggPNyCg4Q4FqL_KWxWMT.woff2	/home/afdaall27/websites/theglowbarldn/static.parastorage.com/tag-bundler/api/v1/fonts-cache/googlefont/woff2/s/raleway/v26/1Ptsg8zYS_SKggPNyCg4Q4FqL_KWxWMT.woff2	(from https://www.theglowbarldn.com/)
11:08:55	42336/42336	---M--	200	added ('OK')	font/woff2	date:Sat,%2021%20Jun%202025%2019:19:46%20GMT	http://static.parastorage.com/tag-bundler/api/v1/fonts-cache/googlefont/woff2/s/raleway/v26/1Ptug8zYS_SKggPNyC0IT4ttDfA.woff2	/home/afdaall27/websites/theglowbarldn/static.parastorage.com/tag-bundler/api/v1/fonts-cache/googlefont/woff2/s/raleway/v26/1Ptug8zYS_SKggPNyC0IT4ttDfA.woff2	(from https://www.theglowbarldn.com/)
11:08:59	44308/44308	---M--	200	added ('OK')	font/woff2	date:Fri,%2006%20Jun%202025%2006:28:03%20GMT	http://static.parastorage.com/tag-bundler/api/v1/fonts-cache/googlefont/woff2/s/raleway/v26/1Ptsg8zYS_SKggPNyCg4TYFqL_KWxQ.woff2	/home/afdaall27/websites/theglowbarldn/static.parastorage.com/tag-bundler/api/v1/fonts-cache/googlefont/woff2/s/raleway/v26/1Ptsg8zYS_SKggPNyCg4TYFqL_KWxQ.woff2	(from https://www.theglowbarldn.com/)
11:08:59	15504/15504	---M--	200	added ('OK')	font/woff2	etag:%223889034da62b370366dd92b33d7bad31%22	http://static.parastorage.com/fonts/v2/eca8b0cd-45d8-43cf-aee7-ca462bc5497c/v1/din-next-w10-light.woff2	/home/afdaall27/websites/theglowbarldn/static.parastorage.com/fonts/v2/eca8b0cd-45d8-43cf-aee7-ca462bc5497c/v1/din-next-w10-light.woff2	(from https://www.theglowbarldn.com/)
